Particulars,Debit,Credit
Capital Account,,"5,00,000"
Term Loan from HDFC,,"2,00,000"
Sundry Creditors,,"1,50,000"
GST Payable,,"30,000"
Sales,,"12,00,000"
Interest Received,,"20,000"
Furniture & Fixtures,"1,50,000",
Computer & Laptops,"1,00,000",
Sundry Debtors,"2,80,000",
Cash in Hand,"20,000",
HDFC Bank,"1,80,000",
GST Input Credit,"40,000",
Advance Tax Paid,"60,000",
Purchases,"7,00,000",
Salaries,"2,40,000",
Rent Paid,"1,20,000",
Electricity Charges,"50,000",
Bank Charges,"5,000",
Depreciation,"45,000",
Opening Stock,"1,00,000",
Mystery Suspense Ledger,"10,000",
